info,post_month,name,jieshao,read_avg
SFLSiGEM, 2 ,SFLSiGEM,"介绍iGEM队伍:Shenzhen_SFLS,iGEM比赛和历年项目",    
Md60_sfls, 4 ,萌动SFLS,"让萌动SFLS来告诉你,萌动60分不只是一档广播节目.",    
sflsOPC,0,SflsOPC,上外附中 JA学生公司 OPC,0
gh_840882b8c5b0,0,SFLSRnR,"普及摇滚精神,给摇滚青年们一个精神上的家.",0
gh_da7bdecc3ce1,0,博雅SFLS,"还记得梧桐山脚下的承诺与梦想吗?还记得曾经憧憬的诗与远方吗? 曾经,千里之行只能心存挂念.如今,有博雅,有深外,有你有我有故事,何愁无处寻找回忆的寄托!深外,梦开始的地方. 博雅,为你装点梦乡.博雅...",0
Verasfls1901,0,SFLS201901,"上外附中2019届1班的公众号~除了每天发发作业,还可能定期发一些小推文",0
gh_e0162de03bfa, 3 ,SFLS职业规划社,"深圳外国语学校职业生涯规划协会. 职业生涯规划协会为深外十大社团之一,举办市级商赛及寒暑假企业实习.",    
Journeys_2_SFLS,0,Journeys2SFLS,"上外附中2022届的微信公众号.我们会定期发送英语阅读课的预习资料,之后还会增加关于学校生活的文章",0
SFLSBBQ,0,SFLS表白墙,听说深外有表白墙,0
sflsfdc,0,SFLS服装设计社,深圳外国语学校服装设计社,0
info,post_month,name,jieshao,read_avg
SFLSiGEM,2,SFLSiGEM,"介绍iGEM队伍:Shenzhen_SFLS,iGEM比赛和历年项目",1065
Md60_sfls,4,萌动SFLS,"让萌动SFLS来告诉你,萌动60分不只是一档广播节目.",49
sflsOPC,0,SflsOPC,上外附中 JA学生公司 OPC,0
gh_840882b8c5b0,0,SFLSRnR,"普及摇滚精神,给摇滚青年们一个精神上的家.",0
gh_da7bdecc3ce1,0,博雅SFLS,"还记得梧桐山脚下的承诺与梦想吗?还记得曾经憧憬的诗与远方吗? 曾经,千里之行只能心存挂念.如今,有博雅,有深外,有你有我有故事,何愁无处寻找回忆的寄托!深外,梦开始的地方. 博雅,为你装点梦乡.博雅...",0
Verasfls1901,0,SFLS201901,"上外附中2019届1班的公众号~除了每天发发作业,还可能定期发一些小推文",0
gh_e0162de03bfa,3,SFLS职业规划社,"深圳外国语学校职业生涯规划协会. 职业生涯规划协会为深外十大社团之一,举办市级商赛及寒暑假企业实习.",509
Journeys_2_SFLS,0,Journeys2SFLS,"上外附中2022届的微信公众号.我们会定期发送英语阅读课的预习资料,之后还会增加关于学校生活的文章",0
SFLSBBQ,0,SFLS表白墙,听说深外有表白墙,0
sflsfdc,0,SFLS服装设计社,深圳外国语学校服装设计社,0
